Variable,Label
ID,ID
ROUND,ROUND
MONTH,MONTH. Month of interview
WEEKDAY,WEEKDAY. Day of the week
COUNTRY,COUNTRY. Country of residence
LANG,LANG. Language of interview
D1,D1. Gender
AGE,AGE. Age band
EDUCATION,EDUCATION. Highest level of education
D6_1,D6_1. Activity status
D6_2a,D6_2A. Employment status
D6_2b,D6_2B. Inactivity status
HHSIZE,HHSIZE. Household size
DEPCHILDREN,DEPCHILDREN. Number of children or economically dependent
D8,D8. Use of internet in the last 3 months
INCOME,INCOME. Household monthly net income
D10_1,D10_1. Has mortgage
D10_2,D10_2. Has consumer loan
D10_3,D10_3. Has savings account
D10_4,D10_4. Has online banking
D10_5,D10_5. Hass pension fund or life insurance
D10_6,D10_6. Has financial investments
D10_7,D10_7. Has none of the financial products
D10_8,D10_8. has financial products: refusal/NA
Q1_1,Q1_1. Mapping - Cash withdrawal
Q1_2,Q1_2. Mapping - Received cash
Q1_3,Q1_3. Mapping - Payment at POS
Q1_4,Q1_4. Mapping - Payment to pick up order made online
Q1_5,Q1_5. Mapping - Payment to courier
Q1_6,Q1_6. Mapping - P2P payment
Q1_7,Q1_7. Mapping - Online payment
QA1,QA1. Cash at the beginning of day
QA2A,QA2A. Amount of first withdrawal
QA3A,QA3A. Source of first withdrawal
QA2B,QA2B. Amount of second withdrawal
QA3B,QA3B. Source of second withdrawal
QA2C,QA2C. Made third withdrawal
QA22,QA22. Amount of cash received from someone
QA4,QA4. Amount of money put aside
QA_5a_1,QA_5a. Amount of POS payment 1
QA_5a_2,QA_5a. Amount of POS payment 2
QA_5a_3,QA_5a. Amount of POS payment 3
QA_5a_4,QA_5a. Amount of POS payment 4
QA_5a_5,QA_5a. Amount of POS payment 5
QA_5a_6,QA_5a. Amount of POS payment 6
QA_5a_7,QA_5a. Amount of POS payment 7
QA_5a_8,QA_5a. Amount of POS payment 8
QA_6a_1,QA_6a. Location POS payment 1
QA_6a_2,QA_6a. Location POS payment 2
QA_6a_3,QA_6a. Location POS payment 3
QA_6a_4,QA_6a. Location POS payment 4
QA_6a_5,QA_6a. Location POS payment 5
QA_6a_6,QA_6a. Location POS payment 6
QA_6a_7,QA_6a. Location POS payment 7
QA_6a_8,QA_6a. Location POS payment 8
QA_7a_1,QA_7a. Instrument POS payment 1
QA_7a_2,QA_7a. Instrument POS payment 2
QA_7a_3,QA_7a. Instrument POS payment 3
QA_7a_4,QA_7a. Instrument POS payment 4
QA_7a_5,QA_7a. Instrument POS payment 5
QA_7a_6,QA_7a. Instrument POS payment 6
QA_7a_7,QA_7a. Instrument POS payment 7
QA_7a_8,QA_7a. Instrument POS payment 8
QA_7ai_1,QA7Ai_n. Card payment 1
QA_7ai_2,QA7Ai_n. Card payment 2
QA_7ai_3,QA7Ai_n. Card payment 3
QA_7ai_4,QA7Ai_n. Card payment 4
QA_7ai_5,QA7Ai_n. Card payment 5
QA_7ai_6,QA7Ai_n. Card payment 6
QA_7ai_7,QA7Ai_n. Card payment 7
QA_7ai_8,QA7Ai_n. Card payment 8
QA_7aii_1,QA7Aii_n. Mobile payment 1
QA_7aii_2,QA7Aii_n. Mobile payment 2
QA_7aii_3,QA7Aii_n. Mobile payment 3
QA_7aii_4,QA7Aii_n. Mobile payment 4
QA_7aii_5,QA7Aii_n. Mobile payment 5
QA_7aii_6,QA7Aii_n. Mobile payment 6
QA_7aii_7,QA7Aii_n. Mobile payment 7
QA_7aii_8,QA7Aii_n. Mobile payment 8
QA_8a_1,QA8A_n. Non-cash acceptance POS payment 1
QA_8a_2,QA8A_n. Non-cash acceptance POS payment 2
QA_8a_3,QA8A_n. Non-cash acceptance POS payment 3
QA_8a_4,QA8A_n. Non-cash acceptance POS payment 4
QA_8a_5,QA8A_n. Non-cash acceptance POS payment 5
QA_8a_6,QA8A_n. Non-cash acceptance POS payment 6
QA_8a_7,QA8A_n. Non-cash acceptance POS payment 7
QA_8a_8,QA8A_n. Non-cash acceptance POS payment 8
QA_8ai_1,QA8Ai_n. Cash acceptance POS payment 1
QA_8ai_2,QA8Ai_n. Cash acceptance POS payment 2
QA_8ai_3,QA8Ai_n. Cash acceptance POS payment 3
QA_8ai_4,QA8Ai_n. Cash acceptance POS payment 4
QA_8ai_5,QA8Ai_n. Cash acceptance POS payment 5
QA_8ai_6,QA8Ai_n. Cash acceptance POS payment 6
QA_8ai_7,QA8Ai_n. Cash acceptance POS payment 7
QA_8ai_8,QA8Ai_n. Cash acceptance POS payment 8
QB1_1,QB1_n.  Purpose of online payment 1.
QB1_2,QB1_n.  Purpose of online payment 2.
QB1_3,QB1_n.  Purpose of online payment 3.
QB1_4,QB1_n.  Purpose of online payment 4.
QB1_5,QB1_n.  Purpose of online payment 5.
QB1_6,QB1_n.  Purpose of online payment 6.
QB1_7,QB1_n.  Purpose of online payment 7.
QB1_8,QB1_n.  Purpose of online payment 8.
QB3_1,QB3_n. Value of online payment 1
QB3_2,QB3_n. Value of online payment 2
QB3_3,QB3_n. Value of online payment 3
QB3_4,QB3_n. Value of online payment 4
QB3_5,QB3_n. Value of online payment 5
QB3_6,QB3_n. Value of online payment 6
QB3_7,QB3_n. Value of online payment 7
QB3_8,QB3_n. Value of online payment 8
